day,hour,zone_id,zone_type,baseline_demand_kw,actual_demand_kw,grid_capacity_kw,load_ratio,stress_level,is_weekend
0,0,Z1,residential,47.76,49.56,380.0,0.13,low,False
0,0,Z2,commercial,142.01,135.09,600.0,0.225,low,False
0,0,Z3,corridor,67.56,64.03,460.0,0.139,low,False
0,0,Z4,mixed,102.72,101.5,520.0,0.195,low,False
0,1,Z1,residential,46.34,49.01,380.0,0.129,low,False
0,1,Z2,commercial,128.65,135.51,600.0,0.226,low,False
0,1,Z3,corridor,66.25,66.91,460.0,0.145,low,False
0,1,Z4,mixed,104.33,102.17,520.0,0.196,low,False
0,2,Z1,residential,60.98,63.69,380.0,0.168,low,False
0,2,Z2,commercial,153.04,146.2,600.0,0.244,low,False
0,2,Z3,corridor,81.11,79.21,460.0,0.172,low,False
0,2,Z4,mixed,110.08,116.7,520.0,0.224,low,False
0,3,Z1,residential,47.01,46.12,380.0,0.121,low,False
0,3,Z2,commercial,135.09,134.51,600.0,0.224,low,False
0,3,Z3,corridor,62.47,66.8,460.0,0.145,low,False
0,3,Z4,mixed,100.84,105.8,520.0,0.203,low,False
0,4,Z1,residential,50.06,47.61,380.0,0.125,low,False
0,4,Z2,commercial,133.76,121.43,600.0,0.202,low,False
0,4,Z3,corridor,70.41,62.94,460.0,0.137,low,False
0,4,Z4,mixed,96.71,96.1,520.0,0.185,low,False
0,5,Z1,residential,129.58,132.25,380.0,0.348,low,False
0,5,Z2,commercial,139.8,138.47,600.0,0.231,low,False
0,5,Z3,corridor,73.16,71.77,460.0,0.156,low,False
0,5,Z4,mixed,103.48,105.43,520.0,0.203,low,False
0,6,Z1,residential,145.93,128.62,380.0,0.338,low,False
0,6,Z2,commercial,146.78,153.42,600.0,0.256,low,False
0,6,Z3,corridor,137.68,147.77,460.0,0.321,low,False
0,6,Z4,mixed,195.6,197.81,520.0,0.38,low,False
0,7,Z1,residential,119.72,120.32,380.0,0.317,low,False
0,7,Z2,commercial,306.53,317.65,600.0,0.529,medium,False
0,7,Z3,corridor,396.05,409.63,460.0,0.89,high,False
0,7,Z4,mixed,229.84,212.18,520.0,0.408,low,False
0,8,Z1,residential,132.99,134.87,380.0,0.355,low,False
0,8,Z2,commercial,323.73,320.41,600.0,0.534,medium,False
0,8,Z3,corridor,400.71,416.98,460.0,0.906,high,False
0,8,Z4,mixed,241.3,235.1,520.0,0.452,low,False
0,9,Z1,residential,115.57,120.38,380.0,0.317,low,False
0,9,Z2,commercial,315.0,312.28,600.0,0.52,medium,False
0,9,Z3,corridor,389.58,376.16,460.0,0.818,high,False
0,9,Z4,mixed,212.11,228.33,520.0,0.439,low,False
